#NAME	B065S_R	B065S_RS	B074S_R	B074S_RS
c53113a17cb01ef4f3eb30378030b5b1	0	190	9181	0
517bae36c3f249b7261904488361268b	0	0	2081	0
37a7745b2e6ac0982c39dce9f309ef44	0	1344	390	0
2b55938921dc35816e0e4b70203fa370	0	0	0	0
16ee81f188c7c23c3872bf29bde77c7f	0	0	141	0
d5f59e04e10acad6a94ea5e179389644	0	972	0	0
9aa249d9381a729d812a5f1930e460a6	0	1642	2820	0
dda8000050752047c825006c306bf8b2	5097	0	2014	1062
42062cdd074c41bf15bb2cc9cd2dd1fa	0	0	0	0
7c1b6c484eee760b3c57350626d5fdc0	0	0	0	0
1fa1705554f735486c17bc54a1e1fa7b	0	0	0	0
87dabb490589bf7a562d1b5e79b58aca	0	0	0	1665
b9e67acb1d3c44fcf74c3533a9d1cea6	0	0	0	0
dfd06a4d1fd79e678c0d785634d29ffb	0	0	0	0
652047e0626f6836ca0dcc0a2da03e3c	0	0	0	1463
9ec624fd479b2ca1745b437d14767585	0	690	0	0
be5324a38ccc21cb7cae83e4a80ee9e1	0	0	0	0
2457d3a95c5d465e4a5c8247fa7b6976	0	216	21	0
4900617ae6c61c89ee76553287c56c34	0	0	0	0
664b8db6dbd000978187583b0aa38d70	0	0	0	0
e30d09c7b8a9c1596dc5d1af02aec49f	0	0	0	3018
decc89e3b06c68b848ab06de2c218c19	0	0	0	0
d1e3f8fff8fb8d8df5347845cc1d2e32	3990	0	0	647
e15e02a873c2cc3c2ddf6d8e45c92c54	0	0	0	0
5b5242bdc4690c6b58f5217583fcbb65	0	1520	0	0
eaba411c963feb2763ba240e031ecc6c	31	315	24	0
0047bed96dd04b90e0d8e9a1f99e816f	0	0	0	0
90fcbd5e77ada4db7dcc06acfb8ee9d0	0	0	309	458
5f8dce9527f98823e6d3724eb8f6538d	96	0	236	531
226501bb09015e3c6b454c7794826382	7012	0	0	0
684b79b9e58e119cc5584d975e9bcf78	0	0	0	0
23081d1ab321761758852f388126baa4	0	0	0	1118
77d22c936560f8e18c9d68392116194e	55	0	0	3192
b5de1c197f786e5a24301c48422d30f1	0	0	0	0
5c36f344366888efec07c74b63067b7e	0	0	0	0
35a0509a077b22dcf6176c307d24fe01	0	0	0	0
3bcdcd4dfef5eff2e258bf7e7bc57ef8	297	0	0	1106
39f3c192ec5bd6b312b84a234b430870	0	53	0	0
fb924b3ad78c04110357b14da4ea83e6	4586	0	0	0
8027f68955770623d4a65835c8d48c64	0	105	18	0
8e1dcba358617dc87ba3c52ab1b9083f	0	113	332	0
0d496f8e7ce213414c3f3bb352b73266	0	0	0	0
6e5c89c5f22e1ee7c3c1307b54116878	0	0	0	0
29408767bce1dc7b39c94364bfc73bf3	0	0	0	0
3ae1c4df98e7dfd145cd7ba23e116439	0	0	0	0
0e9a73b2e704aab768e402824e54770d	0	0	0	2857
8e755d68235ad64ebb119343230ff1eb	0	0	0	0
7c1bb2fa5186fbaf0ab5baee921b9b2b	0	660	200	0
f13b79d1a439a313dc44586ab376b1a6	0	258	0	0
4f6412040a700bdc24ae96d8d802d058	0	1079	298	0
0b8b51ff20877cab44cecfae0372a094	0	0	0	0
5cd3ae4484a3b901258e219ce297957c	0	0	0	0
0ebf58f5eca4eef232bb2932cf262f0e	0	508	149	0
2ae47b0a7a524878d945f33ce3a2337a	0	307	0	0
85ed9092361e2ea86970443b76134f0c	0	0	0	0
444a211bd5cb8bcbf6bd29f57f552286	0	0	0	0
9eacfa775834fc2b5f77531d217d766b	0	0	0	0
27611026a24e2354f7bbdebd8d7d80bc	0	0	0	0
1e45716b4ce50c56869c280be9b28798	0	0	0	0
16674cf8f9bef2d72ad846197b7f9f0d	0	0	1049	0
af06a953600132ad3397b36154d0275b	0	0	0	564
07b8a0440748c9ff2026184b04caf233	0	0	0	0
2071b9817bec4249b9740555be182cb3	0	1241	0	0
5350feebf3b3c71fb155f7002f54c794	0	0	0	0
8170867ec0b84b57a10a4c40134177c6	0	692	27	0
5e12a4fc8c61234e4b95162b423105d7	0	0	0	0
24c24755bf5365f67a7c31a9c901af00	0	0	0	0
d2bb917416317cdeb103d1f744760d6c	0	0	0	0
80e34d49e85c43e170fc3b6a1a95d5d0	0	0	0	0
3602a39e69b8b01d36499f4c423522d6	0	696	906	0
c24df779138f170782b6c1ebc382cfdc	0	0	0	0
89ffa570afae9ae1d86dc02c4ee8dcc8	0	173	35	0
650df5f78abb46b3c79211a05d309ac7	0	0	0	0
dfe5f2e9ab794c4ca635bc4d36aff9ee	0	74	535	0
ae41395b5d3873cd77cef732f6bab064	0	337	0	0
bbae2a16de382e528b4c3157c37a026c	0	0	0	0
65a71bc387e3128686087b14d04b0d16	205	0	0	334
21e19a94c034a58dbf466ad66b8884f1	0	0	0	0
f310dcfa14c1514b487bfe92974ea4f6	0	0	0	0
bd5baf22bb52cea8f7dafcb6654e664f	0	0	0	0
74126833357464900012646f4874182b	0	135	53	0
137b24fc6cca0af849dc72bbac383d28	0	0	0	0
98d3a8ad32f4b4eeb57fffc3cec628c8	0	0	0	0
b38b6205928c9ca5cf4c4241ed841f45	0	0	0	0
de82b14f998f7c5904c10f69f1b3c91e	0	36	0	0
4b717778d2b0b1d1e53a33b21685ce8b	0	0	0	1335
e550049d48ed32f8318b90a8916cb92c	0	0	0	0
84db529d84a708e383a56c9cc2da3887	0	0	0	1350
ddac716c4ca2c05641b56ea1b7bf703a	0	0	0	0
947320155d36de6d42ded9f312426dec	0	469	211	0
bf100ec51c3188ccde4c0ba8329a084f	0	670	0	0
8962b334312beee2601ecaa799ea8510	0	228	0	0
585d712e48099b2481b29d89d8af929c	0	0	0	0
b710f0882256502305988427da1cb37a	0	0	0	0
5173b02bfe1a748c452fb57469100835	654	0	0	712
20e918d6fce4e0cd1c67a5b8a079d52c	0	138	449	0
fcc8ff87f5bce8bab51846956bcee031	0	0	0	1928
bab197db2b75deaa68307b12c7607a8d	0	0	0	0
20e164b2525b95c16a02a1d21f9c7959	0	296	0	0
2537822500bc3a0bab80b3e61e8ebca8	0	0	0	0
794ff3aaed9d22d219a56eb0381808fd	0	0	0	0
b2427a7debbd638b3f39c4f0a4b9a052	0	0	0	0
c87e7dddfba9412b9bd29cc62c8473fb	0	0	0	0
14d0bd2f2f0e44a67d3ea9c06cf541d4	0	0	0	0
76247c21c8c10b7b644b6cf5898a9a30	0	0	0	684
13e3ff39c4d5d1c457e5fa4065fe503d	0	0	0	0
7202f66ff32dbd79291360c47a0a6310	0	0	0	0
a3059db1034180c48f02162f82d07c6f	0	0	253	0
005aa64ba71db72c9105f5df5b754995	0	0	0	0
6504f37376df76a46b82f056f953b5e9	0	0	0	0
08ea3890f5f927a9af15e7357c3c4607	0	0	0	0
d22645ce1e6529a22791c83730ee2aba	0	0	0	0
79a12256b7bc77a60da7099335e9897c	0	0	0	0
d4637588956689f17babc8f67dac045d	1417	0	0	147
abf0c4aad45c0628115285c58206d304	221	0	0	0
918e42d19fae443929267607a0906a2e	0	0	0	0
e613f9e7d76f35a1809b8e01aba0236c	0	0	0	836
e7f360a6dd3702722b0eeeaf85f937ae	0	191	0	0
3ab273eba08d3eb13919f47fb73d7429	0	0	0	0
78d8a27971b4a5bf051ca086303080c1	0	0	0	0
337d6c42232f3547d0f467357983db90	0	0	0	0
84f7c22212eaaa840a909947bd53b5a0	0	0	0	0
f91c61310d265391e7c762fe5e098812	1521	0	0	125
a68592a3cadb28063752022c87065442	0	125	114	0
ac49879b1be88129541943eb43986f1d	0	0	0	0
ea6d3b8dcc4525c00ad2900c8a29374d	0	0	0	724
918ebe33cd0f791637ac53accc72c170	0	0	0	0
ad48fb700ce3e0b1846fc424dcf7c5b1	0	0	0	0
