Pathway	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
 14- and 16-membered macrolides 	424.2	9.2	721.75	178.5	0	0	127.75	0	0	0	0	0	0	0	0	5.2	15.2	31.8	83.5	16	249.25	280.8	29.8	609	0	24	63	144.25	0
 aspartate and glutamate metabolism 	1342535.42	1155119.32	1039886.3	897653.21	785086.4	711026.7	1237290.32	569453.28	1137256.69	645741.71	861878.65	488316.87	857624.05	760848.18	851300.95	940505.91	1022603.2	983173.9	1133395.46	808490.39	1085693.51	797314.12	783783.83	752051.3	841115.78	1092084.54	1105297.18	1048255.41	864272.42
 diarylheptanoid and gingerol biosynthesis 	3222.67	284.83	7814.25	1145.5	507	0	575.75	130	516	0	382.5	0	302	38	439	185.25	187.83	685	209.5	172	280.25	73.5	194	1683	832.5	3941	808	1123.75	1140
 kanamycin and gentamicin biosynthesis 	96902.25	54945.79	62995.22	30047.53	44108.79	13361.98	60092.06	17968.46	70111.54	11266.99	48305.03	11722.75	42421.59	20629.62	38756.4	70803.42	65148.18	62275.08	69321.67	61828.62	62215.71	32835.81	30010.15	44579.02	47776.19	66743.16	63646.03	75088.28	62138.52
 leucine and isoleucine biosynthesis 	846109.05	589147.07	608365.87	565179.5	482168.04	532084.49	805575.46	375553.59	684243.17	487693.59	541340.5	352796.39	502137.12	539096.55	544876.13	577674.61	672748.63	611259.7	696892.92	504111.42	713625.44	452920.27	443315.69	463138.73	537122.07	652738.89	706302.08	663090.9	546422.9
 leucine and isoleucine degradation 	1602897.67	1569071.51	1285296.86	1312799.82	850834.24	1130729.45	1522875.84	654885	1244698.19	978640.79	1025655.42	798756.86	1134222.77	1306955.82	913948.54	1234297.09	1364087.76	1392299.12	1277645.13	1227561.38	1431035.93	991931.45	645380.37	886862.88	1084242.24	1412690.75	1411448.01	1212168.89	832845.94
 piperidine and pyridine alkaloid biosynthesis 	164831.86	159320.99	149380.38	134428.54	118938.55	134618.35	178995.26	95301.97	153097.05	127294.89	124924.14	86721.57	121198.89	139831.93	138443.41	145080.28	159742.93	144204.75	157057.18	134772.52	165258.28	133705.99	128090.58	107950	118807.6	145311.14	163900.92	133689.62	116449.34
 secretion and action 	175.2	294.5	534.6	0	21	45	10	64.5	350	0	21	0	671.5	0	37	729.83	503.33	205	232	89.33	67	298	457.4	59.17	91	129.5	15	215	24.5
 secretion and action 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 serine and threonine metabolism 	1736228.33	1675176.24	1456994	1239013.91	1059135.71	1107910.02	1787497.19	790044.67	1533118.72	979837.95	1187992.68	754570.67	1098477.35	1172450.69	1182771.79	1297205.83	1500730.03	1342068.64	1545764.39	1299077.35	1545407.7	1153217.83	1066409.7	930624.28	1150257.29	1505082.9	1527544.03	1421111.63	1085441.44
 tyrosine and tryptophan biosynthesis 	1043745.29	878893.9	746752.64	704168.17	641694.57	640005.37	940890.86	464980.11	902284.18	593886.15	705449.14	421379.37	633449.53	677340.31	683186.91	649417.72	792879.42	744482.63	885104.27	596260.73	848496.98	618436.75	643886.99	639865.37	676009.11	817412.73	839207.02	858343.37	724992.24
ABC transporters 	4445639.73	5552543.22	4769700.55	3718609.2	3114113.31	4089176.18	5573964.9	3167836.52	4267803.96	3816666.5	3418459.21	2635078.17	3190209.31	3906113.34	4295129.04	4917701.86	4486757.36	3882024.77	4623563.32	3963602.64	4559483.82	4889586.45	4540604.69	2430310.55	3185496.37	3861783.16	4943002.08	3255768.41	2808148.92
AGE-RAGE signaling pathway in diabetic complications 	0	2	0	0	0	0	0	0	103.5	0	66	0	76	0	92	0	0	0	0	0	0	15	0	109.34	0	0	0	340	0
AMPK signaling pathway 	117819.08	83463	77792.8	81401.72	77366.92	87359.66	124072.74	53237	96358.6	80617.99	85525.78	51554.42	72173.14	88205.96	83636.43	108488.45	81054.63	84655.77	91747.7	91357.82	88396.32	48055.87	56449.67	76566.75	68109.74	90739.82	100162.57	86780.32	82031.34
Acarbose and validamycin biosynthesis 	112104.08	96659.47	85476.52	74403.9	69999.43	52027.64	99633.97	45503.26	105683.43	46675.48	78579.19	40825	67088.03	60201.74	72165.7	74613.62	87369.39	82908.05	109101.39	68653.59	100700.17	46270.03	64162.54	50224.04	69309.13	80194.99	95584.48	97923.85	77180.67
Acute myeloid leukemia 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adherens junction 	0	5.8	0	0	5.8	0	0	0	94	0	0	0	0	0	0	496	0	0	0	3442	0	116	0	0	0	0	0	13	0
Adipocytokine signaling pathway 	200490.43	147189.5	125434.24	130795.85	88801.57	115008.47	152349.37	61394.98	131749.5	100895.23	112960.37	73156.33	101606.15	126660.32	91490.28	140942.21	122094.75	153608.26	146126.72	158613.5	135415.85	84342.97	52358.82	101426.87	111287.89	168020.47	142156.22	154395.87	97505.68
Adrenergic signaling in cardiomyocytes 	499	10	0	221	113.67	0	39.33	0	39	0	37	0	0	38	196	0	113	452	0	0	6	167.67	0	21	314	3847	13	108	0
African trypanosomiasis 	17560.45	47251.09	28298.92	15579.92	17676.11	13325.62	15435.95	12686.24	31866.08	9531.73	14676.5	12022.83	17842.4	19823.82	12929.01	20443.78	24480.12	18819.05	38080.69	8774.86	27966	20704.89	27190.98	10280.07	19216.32	29314.7	21880.33	15487.92	7822.5
Alanine	1342535.42	1155119.32	1039886.3	897653.21	785086.4	711026.7	1237290.32	569453.28	1137256.69	645741.71	861878.65	488316.87	857624.05	760848.18	851300.95	940505.91	1022603.2	983173.9	1133395.46	808490.39	1085693.51	797314.12	783783.83	752051.3	841115.78	1092084.54	1105297.18	1048255.41	864272.42
Alcoholism 	47924.53	38740.53	40018.42	14616	18295.24	15551.5	21162.86	7349.86	30111.7	10354	24171.93	15490	28238.1	31128	16535.43	41492.94	44903.12	30892.51	31722.17	27859.63	38822.16	13872.15	13047.37	13611.24	16802.05	36768.01	27952.86	25318.44	9055.84
Aldosterone synthesis and secretion 	319	10	0	221	113.67	0	39.33	0	39	0	37	0	0	38	196	0	58	452	0	0	6	167.67	0	0	75	3847	13	108	0
Aldosterone-regulated sodium reabsorption 	319	0	0	0	23.67	0	39.33	0	39	0	0	0	0	0	14	0	0	0	0	0	6	1.67	0	0	75	0	13	108	0
Alzheimer disease 	181701.26	243966.13	190618.05	115066.26	111436.44	95780.55	189546.48	78519.93	167411.45	97221.19	111353.61	66969.07	128480.44	90811.12	113632.44	205519.39	199543.3	167236.78	177000.33	119267.26	202453.91	157157.07	96378.44	122578.73	159433.25	150031.49	175296.83	138361.94	140099.17
Amino acid metabolism	83308.47	114794.31	57380.84	55641.82	51337.54	48099.57	71101.09	43938.17	72417.93	41221.42	51124.05	32369.83	45668.06	51568.08	58579.48	41506.84	61824.77	59045.31	75438.05	42835.83	68441.1	48857.91	75426.27	45045.51	47380.14	64777.82	63483.6	66610	53464.34
Amino acid related enzyme	1921308.35	1566475.89	1374670.58	1194579.71	1144141.74	1015983.33	1635085.64	800894.03	1613827.54	934244.84	1249536.22	702717.71	1126295.08	1094430.05	1188913.23	1266768.5	1405739.48	1295797.44	1611652.56	1061697.66	1457606.53	1032006.17	1114822.29	1090479.18	1185899.42	1486004.26	1497438.33	1510495.86	1290652.11
Amino sugar and nucleotide sugar metabolism 	1570720.98	1122123.11	1185280.57	877898.9	913008.31	760764.71	1273362.4	624812.94	1321870.52	678639.67	958620.32	523773.29	913896.08	817826.93	947408.16	1295712.6	1300991.19	1178975.44	1337180.31	1034061.05	1287862.56	867850.71	896472.52	865230.02	929720.18	1198193.98	1272649.8	1192645.04	1088526.63
Aminoacyl-tRNA biosynthesis 	1456985.37	1022160.07	951342.53	811306.12	797068.73	698522.6	1127654.94	526437.14	1144715.71	638530.1	883256.96	471532.08	773428.9	760553.99	785817.78	860004.47	978238.34	919880.5	1146230.16	686277.7	1061282.25	718429.59	694032.04	810993.03	862739.8	1072463.92	1050790.18	1193024.47	920411.59
Aminobenzoate degradation 	436265.41	475484.62	395693.51	457765.24	252266.41	404705.69	490480.14	245040.21	354268.63	366787.65	306202.36	295522.39	383568	449324.76	298188.13	477845.02	451961.52	448774.1	400490.03	447516.37	472193.32	302900.11	197310.1	269873.56	343223.15	404656.24	476996.63	324380.26	238805.52
Amoebiasis 	40827.45	12836.74	38289.09	12375.8	15873.92	14855	16635.02	10725	27246.51	15177.25	12862.79	7346.67	10533.47	15110.42	17675.4	30416	19783.3	13681.08	23315.14	21711.37	18482.82	18359.99	16941.5	9561.4	12924.5	23290.61	21156.6	27997.26	24599.67
Amphetamine addiction 	47924.53	38735.53	40018.42	14616	18295.24	15551.5	21162.86	7349.86	30111.7	10354	24171.93	15490	28238.1	31128	16535.43	41492.94	44903.12	30892.51	31722.17	27859.63	38822.16	13872.15	13047.37	13611.24	16802.05	36768.01	27952.86	25318.44	9055.84
Amyotrophic lateral sclerosis 	214580.79	344108.74	241041.7	189832.51	174390.58	173265.75	291898.39	129487.6	239829.85	159882.09	169083.52	126489.22	180194.74	181682.1	182176.2	281343.15	269320.71	235532.18	242589.79	149759.09	282949.85	191847.85	171315.2	154741	208628.58	224570.35	250298.5	151020.85	193643.17
Antifolate resistance 	217975.41	206221.26	176372.89	142153.8	136302.46	128650.88	207882.61	96979.48	205266.18	119431.69	146152.8	87691.58	142122.4	134082.3	138890.93	155243.51	183731.32	172069.65	194336.9	140829.91	182568.29	158093.84	141692.89	153599.48	149931.27	192705.43	173321	166956.01	153062.34
Antigen processing and presentation 	19883.31	34170.9	24154.3	25064.03	20831.98	21929.48	28060.17	16317.96	27072.5	20018.99	21698.7	15284.25	19710.22	23713.12	22501.87	30380.62	24798.75	26727.77	24069.71	29175.12	25317.06	14966.79	23968.54	24372.92	17971.23	21202.12	23197.86	13973.79	19997.17
